train_number,route_length_km,season,day_of_week,scheduled_time_mins,delay_minutes
TR104,948,2,5,906,30.89
TR104,918,2,1,131,69.15
TR101,970,2,1,1180,29.91
TR104,202,2,6,368,0
TR103,1006,4,6,1242,57.59
TR104,425,4,3,650,21.57
TR103,1167,4,5,609,29.64
TR103,1000,1,5,705,71.32
TR101,383,2,1,904,32.66
TR102,538,1,3,954,38.73
TR101,523,4,3,1316,40.83
TR101,879,4,0,840,39.47
TR104,551,4,1,678,41.77
TR104,1094,1,3,808,61.61
TR102,1057,2,4,1213,29.43
TR101,906,1,0,1436,38.16
TR102,202,3,3,790,23.16
TR102,1031,3,2,896,45.04
TR104,616,1,3,159,87.09
TR101,816,2,5,260,45.05
TR101,606,2,6,161,8.93
TR102,588,2,3,354,19.72
TR103,855,2,4,1363,38.64
TR101,435,3,0,1305,34.55
TR104,912,2,0,1332,47.68
TR102,308,3,6,1349,24.55
TR101,811,4,5,878,15.41
TR101,1136,3,0,980,59.91
TR103,1041,2,3,480,45.68
TR103,1090,4,3,1333,51.12
TR101,671,4,1,1071,62.66
TR104,788,1,3,785,63.7
TR103,797,3,4,685,49.27
TR101,1158,2,0,614,54.65
TR102,1075,4,3,155,36.69
TR101,702,2,3,618,28.25
TR104,1187,3,3,1247,77.93
TR103,820,4,2,747,40.93
TR102,746,1,5,1217,64.91
TR102,492,2,5,1111,21.28
TR103,305,2,2,585,34.99
TR103,467,3,0,1213,26.56
TR101,698,2,5,1125,38.17
TR101,125,3,3,1100,0
TR101,617,4,0,253,34.35
TR104,1107,1,4,1409,72.0
TR103,274,2,0,1262,5.77
TR104,562,4,3,1026,22.24
TR104,725,1,4,323,75.36
TR102,532,3,5,286,31.71
TR101,420,1,3,1042,48.73
TR104,696,1,1,710,48.56
TR104,245,2,2,1400,0
TR102,970,1,4,580,48.83
TR102,246,1,1,749,6.06
TR103,999,1,3,742,58.81
TR104,996,1,4,201,35.71
TR104,760,3,0,307,40.97
TR101,651,1,6,478,74.82
TR104,1162,4,2,491,74.15
TR104,286,4,2,956,13.99
TR103,757,1,6,449,46.76
TR103,920,1,3,300,86.23
TR103,616,3,0,947,49.31
TR101,1046,4,0,504,31.28
TR103,1120,4,6,225,61.45
TR103,997,4,0,179,67.98
TR102,424,3,4,148,14.92
TR101,1045,1,5,435,70.11
TR104,697,3,3,1108,45.98
TR102,885,2,4,1160,42.86
TR102,242,3,6,969,0
TR103,105,3,5,731,27.56
TR104,404,4,4,1111,9.5
TR104,1032,3,6,506,67.31
TR102,884,2,6,961,68.06
TR104,890,2,3,195,51.21
TR102,1128,3,6,325,67.77
TR104,131,2,3,436,0
TR101,1061,3,2,1396,45.39
TR103,1192,4,2,1403,39.26
TR104,173,1,1,1412,23.7
TR102,285,4,0,1417,2.94
TR101,1008,2,5,733,54.18
TR101,700,3,2,1002,32.38
TR102,600,4,4,488,32.93
TR104,593,4,4,413,34.98
TR102,1044,3,3,642,36.17
TR104,689,2,0,1024,6.62
TR103,712,4,5,632,23.34
TR104,1089,1,1,901,77.86
TR103,705,3,0,930,32.28
TR101,1117,3,6,591,75.0
TR103,548,2,4,633,16.89
TR102,298,1,2,1022,13.36
TR101,847,2,0,724,35.14
TR102,370,3,4,1147,32.27
TR103,436,3,6,1106,34.08
TR103,335,4,0,408,14.2
TR102,913,3,0,928,64.18
TR104,854,3,4,900,44.32
TR103,321,2,3,171,0
TR103,553,1,5,1070,23.13
TR103,936,1,1,212,78.86
TR104,337,1,1,1220,32.62
TR102,895,4,2,1226,23.17
TR102,949,1,6,1122,79.47
TR104,672,1,5,878,56.92
TR102,842,1,5,872,78.03
TR103,224,4,2,508,47.07
TR104,287,2,5,1429,7.09
TR101,203,3,1,377,12.49
TR102,542,2,2,422,17.21
TR101,667,2,1,1226,33.31
TR101,369,1,2,607,47.74
TR103,132,2,2,227,17.56
TR101,230,4,3,861,22.71
TR101,1025,2,4,208,46.57
TR103,1038,1,0,1100,39.41
TR104,973,1,3,1028,74.16
TR102,234,2,2,1398,14.44
TR103,880,3,3,1155,38.59
TR101,540,4,3,587,22.78
TR104,794,4,3,971,38.04
TR103,622,3,1,1091,18.22
TR101,286,1,0,1004,54.49
TR102,222,3,5,370,25.11
TR104,824,4,6,225,61.12
TR103,312,2,1,1107,11.59
TR102,321,3,6,1259,0
TR102,978,1,4,667,87.71
TR101,469,3,5,752,35.74
TR102,393,4,0,410,13.05
TR101,287,2,3,979,5.94
TR103,764,1,0,438,60.72
TR102,201,1,2,1027,20.96
TR104,948,3,1,1169,32.68
TR101,806,4,0,700,31.53
TR103,193,2,3,1347,0
TR101,115,2,2,552,8.52
TR103,771,1,0,1138,33.2
TR104,459,2,3,1210,17.88
TR103,247,4,6,206,0
TR104,138,4,0,761,0
TR104,692,1,3,162,45.63
TR103,451,4,6,861,47.16
TR102,992,4,4,281,64.82
TR104,735,3,1,802,37.84
TR101,1186,2,6,835,53.42
TR103,402,2,0,419,19.75
TR102,254,2,6,1406,21.95
TR104,1050,4,5,1276,25.08
TR103,747,2,3,259,2.91
TR104,1005,3,6,682,38.52
TR101,735,4,3,197,29.16
TR101,855,3,0,1440,62.15
TR104,1047,1,3,1290,50.13
TR102,758,4,4,428,53.74
TR103,272,2,0,627,9.29
TR104,999,2,2,883,62.87
TR103,207,3,0,795,3.03
TR101,891,3,2,1354,54.0
TR102,816,3,5,922,31.15
TR102,273,3,4,891,5.35
TR102,1178,1,5,987,68.4
TR103,137,3,2,489,19.93
TR104,493,2,1,437,20.51
TR101,705,1,4,1225,71.11
TR101,789,2,4,891,12.68
TR102,432,2,6,1399,24.87
TR104,189,4,2,606,1.04
TR104,683,4,1,1213,36.8
TR104,497,3,5,1288,63.7
TR104,1045,3,6,902,36.63
TR102,508,2,6,632,25.11
TR101,1084,3,4,330,49.86
TR101,683,1,6,448,36.61
TR103,1020,2,6,1015,78.63
TR104,815,1,3,229,78.71
TR104,1128,3,1,910,70.93
TR101,752,1,6,806,57.1
TR102,381,1,2,1087,36.32
TR104,1018,1,0,158,63.17
TR103,541,2,4,1366,19.88
TR103,586,3,0,217,28.04
TR102,959,4,0,347,57.1
TR101,1155,2,5,414,42.65
TR103,979,1,4,842,69.87
TR101,1172,3,0,1197,74.14
TR101,899,4,0,1421,33.96
TR101,831,1,2,613,71.01
TR101,780,2,0,841,12.65
TR102,1051,4,5,493,44.71
TR102,229,4,0,720,19.4
TR101,746,3,4,935,62.63
TR104,618,1,6,511,44.18
TR101,779,3,0,873,68.05
TR104,919,4,3,814,63.28
TR104,852,3,6,289,39.71
TR104,261,4,4,489,0.38
TR101,771,3,2,1033,34.83
TR104,441,4,2,1035,51.29
TR103,990,3,5,237,57.47
TR101,931,3,4,447,54.51
TR104,171,2,0,603,6.12
TR103,841,4,4,186,24.19
TR103,861,4,6,277,29.18
TR102,1184,3,3,763,52.49
TR101,153,2,3,1180,0
TR104,341,3,6,653,14.08
TR103,1105,2,0,397,45.26
TR101,1025,2,5,1031,78.61
TR103,811,1,4,1230,60.08
TR103,714,2,5,1426,42.22
TR102,348,2,6,404,30.02
TR102,1111,1,2,1254,60.42
TR102,276,1,2,935,26.41
TR104,1176,4,6,958,61.41
TR103,251,4,3,1179,7.29
TR103,362,2,6,384,0
TR101,354,2,2,457,31.25
TR102,760,2,2,1182,60.92
TR103,502,3,1,1400,7.31
TR103,1192,1,4,1432,97.09
TR102,450,3,6,1274,53.68
TR101,158,1,0,1433,29.45
TR102,953,1,3,1404,55.99
TR103,718,4,1,951,34.19
TR101,423,4,3,1111,26.73
TR104,517,3,4,414,16.7
TR103,916,2,6,878,67.86
TR101,753,2,3,370,36.41
TR101,203,3,3,1380,21.4
TR104,608,2,6,790,52.32
TR102,426,4,4,1076,11.61
TR104,731,4,0,304,53.31
TR102,540,3,0,223,20.99
TR103,1113,4,2,1219,62.79
TR102,641,3,6,945,32.42
TR103,192,4,0,1287,0
TR103,250,4,4,1042,7.11
TR103,343,2,0,926,0
TR103,395,2,4,1162,51.3
TR104,1124,1,0,199,85.0
TR104,1163,4,1,1361,68.39
TR102,771,3,1,924,63.1
TR103,788,4,5,1272,37.95
TR103,1072,1,2,798,54.28
TR103,154,4,2,1304,0
TR102,205,4,1,1193,0
TR104,402,2,0,1292,4.98
TR101,490,1,3,762,30.99
TR102,940,4,6,247,54.56
TR102,1162,2,4,785,75.21
TR104,742,2,3,1211,36.9
TR103,825,3,4,1111,45.25
TR103,560,3,6,711,38.55
TR102,1101,3,3,834,22.53
TR103,689,1,4,1232,41.46
TR104,908,3,6,419,42.29
TR101,809,4,5,645,52.41
TR104,538,2,6,1223,24.35
TR103,381,1,4,1321,58.15
TR102,596,1,5,1207,51.46
TR101,946,3,5,1087,58.09
TR101,381,1,4,443,9.81
TR104,1077,2,6,708,73.22
TR103,684,1,6,303,47.92
TR101,458,4,6,480,13.99
TR101,913,4,1,712,47.11
TR101,786,3,3,1433,37.87
TR104,374,4,2,514,23.55
TR104,626,2,0,810,18.77
TR103,495,2,4,1428,47.17
TR103,277,4,5,315,0
TR102,387,4,2,628,34.09
TR104,646,3,2,1312,32.93
TR101,635,3,5,603,38.71
TR103,427,4,5,1149,24.21
TR103,340,3,2,1378,23.86
TR104,413,4,5,1360,57.7
TR103,951,4,6,1220,56.55
TR102,267,4,4,860,0
TR101,329,1,6,1241,44.71
TR102,436,3,6,1185,16.02
TR104,338,2,5,1314,0
TR104,213,4,1,1171,12.9
TR104,1035,1,4,1066,65.74
TR101,910,3,6,126,34.11
TR102,249,1,3,825,26.71
TR101,241,4,0,707,0
TR104,468,2,6,1433,44.81
TR104,866,4,3,893,40.37
TR104,264,2,5,832,47.85
TR104,1183,2,5,576,91.13
TR101,146,3,3,1235,0
TR102,606,4,2,437,37.02
TR103,486,1,0,978,17.89
TR101,592,2,0,326,6.34
TR101,1014,1,1,210,61.74
TR102,215,2,4,712,17.07
TR102,753,3,1,738,68.81
TR102,946,3,2,244,16.63
TR102,974,4,0,825,69.59
TR103,952,4,1,734,39.57
TR104,476,4,1,581,16.43
TR104,218,4,3,1261,33.24
TR102,895,2,2,536,41.81
TR104,859,1,4,510,68.28
TR101,649,4,5,1358,8.1
TR102,544,4,1,801,8.82
TR103,131,2,1,360,6.06
TR102,518,4,1,1250,0.77
TR103,679,4,3,1212,26.29
TR103,1150,4,3,321,47.14
TR104,755,2,2,760,21.21
TR102,398,1,2,1253,49.83
TR104,704,2,1,795,37.64
TR102,1122,3,2,1120,75.43
TR104,1043,2,5,841,63.78
TR104,476,1,4,189,64.73
TR101,199,1,3,401,35.93
TR102,118,2,4,1053,0
TR103,223,4,5,1119,29.55
TR104,124,1,4,682,28.02
TR103,135,4,6,487,12.03
TR102,593,2,4,1198,33.85
TR103,825,3,6,932,74.62
TR104,598,2,2,285,47.98
TR101,291,4,3,892,9.73
TR101,450,1,3,1008,40.84
TR103,295,1,1,552,53.49
TR104,655,1,0,694,39.36
TR101,467,3,0,544,1.95
TR104,257,3,1,1274,0
TR102,896,3,3,406,50.57
TR101,1125,3,0,320,34.05
TR104,575,1,2,1359,53.2
TR104,768,1,5,679,21.33
TR104,1104,2,2,1252,70.07
TR104,275,3,6,624,7.98
TR101,268,3,1,898,8.33
TR104,748,3,0,307,16.75
TR101,731,4,2,672,41.68
TR104,1019,4,0,173,54.79
TR101,824,1,4,1344,67.63
TR101,697,4,3,293,5.6
TR102,1167,2,5,899,64.1
TR103,1109,2,0,462,65.84
TR104,665,4,2,1111,36.14
TR102,1115,2,3,339,41.85
TR102,723,1,3,800,64.13
TR103,1001,3,3,1337,37.75
TR102,715,3,4,531,26.45
TR104,753,3,5,1416,38.88
TR104,596,3,3,694,35.88
TR101,509,2,5,1246,11.75
TR101,1045,2,3,716,55.03
TR104,1122,2,5,740,51.15
TR102,617,2,5,986,32.28
TR104,920,4,4,195,40.3
TR103,1199,1,0,628,72.25
TR101,918,3,6,1001,34.15
TR101,121,1,2,574,7.95
TR102,1012,3,3,1068,49.38
TR102,806,1,3,334,50.79
TR101,337,2,2,758,49.24
TR103,1032,2,4,1109,47.66
TR104,753,1,2,211,63.19
TR101,146,3,5,343,3.33
TR102,1156,2,4,447,49.74
TR103,973,4,1,949,42.04
TR104,910,1,5,1377,58.49
TR102,1020,4,3,129,48.14
TR101,308,2,2,787,5.63
TR102,1037,1,2,1122,50.76
TR104,903,1,2,840,61.44
TR104,453,3,4,1328,29.58
TR101,588,3,0,494,33.48
TR103,389,4,3,1341,29.01
TR102,1096,2,4,461,66.04
TR104,691,2,1,764,45.94
TR103,119,4,1,519,0
TR104,1135,4,3,1127,31.98
TR104,442,1,4,183,56.62
TR102,698,1,2,580,46.05
TR104,1114,1,4,353,73.57
TR103,851,1,6,1023,19.05
TR101,606,3,6,186,17.26
TR104,638,3,6,298,0
TR102,529,3,6,1369,44.36
TR104,439,2,6,543,32.5
TR103,1190,3,4,1223,34.49
TR102,762,3,2,1292,34.88
TR101,377,4,0,687,48.31
TR102,371,2,1,779,30.57
TR104,1102,2,4,1415,32.73
TR103,948,4,3,274,26.77
TR101,925,3,5,875,23.25
TR104,1099,3,4,125,74.71
TR101,1038,3,6,249,30.57
TR104,546,4,6,553,14.06
TR103,791,2,4,1113,39.99
TR103,199,1,0,1402,33.47
TR101,423,4,3,121,4.88
TR104,514,2,5,738,44.56
TR103,291,3,2,288,43.85
TR103,438,1,3,1401,33.95
TR102,979,1,5,314,90.81
TR101,537,4,0,391,11.75
TR104,119,1,5,823,15.87
TR101,964,2,3,265,49.06
TR101,311,3,2,732,21.98
TR102,883,2,5,412,61.7
TR102,1001,3,5,556,58.1
TR102,943,4,6,564,53.05
TR101,886,3,3,764,47.88
TR102,607,3,5,292,30.58
TR103,154,3,1,1180,28.03
TR102,902,3,5,231,50.72
TR102,1113,4,0,613,29.59
TR104,245,1,2,768,52.37
TR104,848,2,6,1084,64.37
TR101,134,1,0,656,33.95
TR104,1137,3,5,1146,90.0
TR104,967,4,0,1431,28.14
TR103,271,3,0,1167,8.82
TR102,418,3,3,1321,1.99
TR101,735,4,5,608,15.49
TR101,600,1,3,357,30.32
TR103,459,1,0,401,48.89
TR101,435,4,2,1191,0
TR103,441,3,1,670,19.04
TR101,160,3,6,999,7.25
TR101,1116,4,4,857,61.2
TR101,1123,2,2,442,55.93
TR101,567,1,0,145,55.34
TR102,194,4,2,904,17.96
TR101,958,2,2,628,43.37
TR104,755,3,6,279,30.94
TR101,467,2,6,1176,20.06
TR101,921,1,3,698,67.96
TR101,1035,1,2,530,58.95
TR103,722,2,3,874,21.43
TR102,602,2,0,959,20.57
TR101,577,3,5,139,29.62
TR104,729,1,1,1205,56.2
TR102,959,4,0,411,46.37
TR102,1164,4,5,882,51.76
TR104,273,1,4,393,23.87
TR101,990,2,1,717,38.09
TR103,745,4,5,788,32.29
TR101,515,2,6,1317,36.62
TR101,418,1,1,1040,25.92
TR103,525,4,2,1068,29.49
TR103,345,1,1,743,47.95
TR101,540,3,1,306,6.44
TR102,828,4,4,220,36.26
TR102,163,4,6,1046,0
TR102,293,4,0,406,18.52
TR102,367,2,6,940,22.05
TR103,272,3,6,273,19.03
TR104,363,1,6,799,38.9
TR101,187,4,0,464,23.55
TR104,1116,1,3,993,68.47
TR102,824,2,1,683,35.4
TR101,603,3,3,963,60.7
TR104,224,1,2,904,37.71
TR102,139,4,6,855,14.55
TR104,1092,3,4,1148,49.42
TR101,753,2,0,695,48.38
TR101,1066,3,6,1316,93.82
TR101,607,2,2,1212,30.25
TR101,549,4,2,475,36.45
TR103,157,3,4,1274,25.82
TR102,485,4,4,752,26.13
TR101,576,2,0,1198,32.53
TR104,101,3,4,532,9.81
TR102,762,1,0,422,45.26
TR102,327,3,0,885,10.12
TR101,789,3,2,399,18.25
TR102,994,4,5,769,67.8
TR103,557,2,3,748,62.95
TR103,360,2,5,123,52.68
TR104,166,2,4,771,0
TR102,313,4,1,798,15.33
TR103,443,1,6,1428,31.1
TR103,1014,1,2,549,70.72
TR103,321,1,0,910,41.67
TR104,959,2,3,1129,58.23
TR104,307,4,6,1303,5.91
TR102,433,4,0,188,17.99
TR101,251,3,1,888,25.17
TR102,253,1,2,1336,64.24
TR101,983,2,4,1009,46.22
TR102,209,1,2,540,45.64
TR103,676,3,1,316,31.33
TR101,904,4,1,231,35.04
TR103,1083,2,0,172,66.31
TR102,449,3,0,1089,29.61
TR104,1064,4,5,662,42.49
TR101,893,2,2,901,33.54
TR103,1000,4,2,583,61.92
TR103,226,2,6,318,23.12
TR104,565,1,6,912,55.31
TR104,1196,4,4,602,53.78
TR101,1128,2,0,1039,57.3
TR102,442,2,6,514,33.15
TR104,513,2,6,1338,36.86
TR103,754,1,0,914,39.87
TR103,1164,4,6,145,51.61
TR104,330,4,1,423,0
TR101,316,1,6,705,27.74
TR103,941,3,3,1114,31.78
TR102,664,4,1,1386,25.78
TR104,179,4,2,606,25.17
TR103,862,1,2,740,68.29
TR103,674,4,6,321,44.33
TR103,1007,3,2,973,48.49
TR101,484,4,1,953,22.76
TR103,215,2,0,757,0
TR104,377,1,1,514,45.96
TR101,610,1,3,223,43.41
TR103,507,3,2,1070,4.05
TR101,162,2,2,1121,7.41
TR104,463,4,4,1249,17.89
TR103,285,3,0,911,21.51
TR101,433,2,6,573,8.08
TR103,938,1,6,138,48.86
TR104,370,2,4,137,21.87
TR103,663,4,3,834,53.41
TR104,616,2,3,738,18.45
TR104,309,1,4,886,10.35
TR103,711,1,3,250,49.32
TR103,667,3,5,731,43.69
TR102,407,2,0,1348,9.5
TR102,152,4,2,651,15.06
TR104,928,4,5,192,4.26
TR102,802,2,5,1214,15.88
TR104,834,3,6,468,58.24
TR102,701,1,3,382,29.21
TR103,474,3,5,302,25.55
TR103,961,3,2,653,58.55
TR103,1049,1,3,229,85.71
TR101,1067,2,4,365,38.57
TR104,1185,3,3,230,65.15
TR102,801,4,4,1057,33.83
TR102,747,2,6,285,16.23
TR102,741,1,0,1045,58.7
TR103,528,2,4,444,0.98
TR101,365,4,5,999,19.92
TR104,978,4,3,129,58.62
TR103,128,3,6,1207,8.75
TR102,136,1,5,629,31.36
TR103,364,1,3,1150,68.57
TR103,442,1,6,213,38.39
TR103,988,2,2,1123,61.27
TR103,485,2,6,946,34.86
TR102,532,1,4,1153,47.88
TR102,352,3,5,196,2.41
TR101,198,1,5,160,45.05
TR101,337,4,3,898,25.02
TR102,520,1,2,981,54.02
TR101,1165,3,4,1360,53.49
TR101,1147,1,2,353,62.47
TR101,1119,2,4,529,60.9
TR102,833,4,2,448,13.78
TR101,1116,2,5,1104,55.26
TR101,326,4,1,304,17.27
TR101,307,3,5,593,0
TR103,1050,1,0,477,83.58
TR101,695,3,6,760,28.1
TR101,119,2,5,469,9.29
TR103,832,4,4,669,46.39
TR103,474,1,3,939,39.12
TR104,656,4,5,1099,39.49
TR102,331,2,5,240,0
TR102,312,4,4,1108,22.89
TR102,877,3,4,179,22.46
TR102,1089,4,0,962,49.4
TR103,125,2,5,812,8.23
TR101,986,2,3,828,38.22
TR102,211,1,5,441,12.15
TR104,1115,2,0,1126,49.98
TR103,203,2,4,1437,22.29
TR104,925,2,0,1060,27.87
TR101,1120,4,2,363,62.72
TR104,136,1,3,964,45.25
TR101,723,2,5,1054,40.38
TR103,844,1,6,576,69.73
TR104,844,4,0,319,31.02
TR102,104,3,2,1417,17.36
TR103,317,1,1,1128,33.09
TR102,938,1,2,1371,69.44
TR104,541,4,6,510,34.22
TR103,320,4,0,1416,26.45
TR104,1036,2,3,128,34.75
TR101,986,4,4,482,45.99
TR102,312,4,5,1349,6.95
TR103,1132,4,3,1367,78.56
TR103,914,3,2,1047,32.88
TR102,382,4,4,1169,12.04
TR103,545,2,1,1398,49.48
TR103,807,2,5,484,17.26
TR103,336,3,4,1103,16.24
TR104,1193,3,6,985,66.19
TR101,880,2,0,235,26.97
TR102,646,2,2,633,35.55
TR103,517,1,2,1046,50.12
TR101,559,4,1,1166,33.7
TR103,196,4,3,973,0
TR103,210,1,5,634,39.28
TR104,561,3,6,1325,56.98
TR102,496,3,3,483,30.67
TR102,1152,1,3,203,76.99
TR104,671,3,1,449,23.61
TR103,1055,2,0,434,46.95
TR103,204,3,3,1292,4.65
TR103,1176,2,1,1186,56.99
TR101,1134,2,3,1232,50.29
TR102,536,3,2,858,25.28
TR103,547,4,4,138,37.74
TR102,599,1,5,777,59.07
TR104,332,4,2,1226,16.05
TR103,1153,4,3,209,54.34
TR103,494,3,4,288,33.3
TR101,234,2,5,1409,8.8
TR102,968,1,1,1221,83.03
TR104,247,2,0,1060,0
TR103,177,1,0,231,33.85
TR101,566,3,3,914,38.58
TR104,928,4,2,154,40.62
TR101,229,1,5,268,36.27
TR103,1129,1,2,737,66.89
TR104,881,4,6,183,36.48
TR104,420,2,1,920,29.46
TR103,395,3,5,884,0
TR101,389,1,0,130,25.98
TR101,724,2,5,824,29.58
TR102,945,2,1,496,52.44
TR102,334,2,5,1281,44.68
TR101,1044,1,2,257,72.16
TR104,777,3,1,600,48.8
TR101,683,1,1,770,40.82
TR103,412,3,6,767,21.79
TR104,445,1,2,624,47.51
TR104,666,3,1,799,10.22
TR104,1047,4,2,745,45.17
TR101,674,2,4,522,34.29
TR103,256,1,0,1158,14.21
TR104,535,1,4,653,26.55
TR104,404,3,3,577,35.74
TR103,374,4,4,1165,6.08
TR101,912,3,4,141,30.42
TR102,1152,2,3,446,32.76
TR102,399,4,2,202,23.33
TR101,641,3,1,207,49.07
TR102,1160,3,3,1081,84.95
TR101,763,1,5,1187,42.87
TR103,639,2,3,895,17.48
TR101,1158,3,3,576,74.25
TR104,822,3,3,1107,42.41
TR102,1000,2,1,277,48.88
TR103,533,2,1,442,11.2
TR101,571,4,6,796,46.71
TR101,1086,4,3,551,36.07
TR104,145,2,0,381,0
TR102,375,1,4,420,49.64
TR102,1158,4,4,1274,61.89
TR101,680,1,1,1039,40.72
TR104,449,2,6,961,11.94
TR102,472,3,1,821,41.45
TR101,570,4,3,390,19.03
TR101,133,2,4,1152,0
TR101,463,4,4,1348,0
TR101,1188,1,0,1107,61.97
TR101,983,4,2,208,21.92
TR104,569,4,6,900,12.45
TR101,971,2,2,1097,70.43
TR102,271,3,4,1233,5.4
TR101,1170,1,4,134,83.77
TR104,520,3,3,861,38.39
TR103,635,4,4,868,41.56
TR103,913,2,3,1250,49.28
TR103,1090,3,2,1303,37.67
TR103,915,2,6,363,45.53
TR102,305,2,4,940,0
TR103,206,2,3,1422,16.85
TR102,1065,4,0,251,53.47
TR103,554,3,0,1367,42.06
TR104,1167,3,5,1343,61.82
TR101,458,4,3,141,29.46
TR103,498,1,6,1347,65.84
TR102,447,1,2,609,19.37
TR101,665,4,2,929,0
TR104,510,1,5,260,62.05
TR103,811,3,1,1361,31.34
TR102,1031,4,4,129,50.48
TR101,248,3,2,359,27.7
TR103,612,4,3,1273,19.46
TR103,1039,4,4,176,53.1
TR104,338,3,0,903,0
TR102,746,4,2,1177,1.46
TR101,639,2,2,310,11.88
TR103,255,2,3,762,27.54
TR103,547,3,1,509,17.34
TR102,643,2,1,535,32.21
TR102,829,2,6,338,45.87
TR104,113,1,6,1107,29.8
TR103,745,4,4,682,0
TR103,914,2,6,1301,48.2
TR102,210,4,3,1227,24.07
TR102,1036,1,5,1181,74.62
TR104,746,1,0,551,52.28
TR103,631,2,4,658,36.3
TR102,651,4,4,822,20.81
TR102,958,3,2,940,61.06
TR103,1023,2,4,388,73.79
TR101,652,2,4,1005,29.63
TR104,501,2,6,426,22.98
TR104,1123,2,6,1411,56.5
TR103,1096,3,2,1271,57.76
TR101,434,1,1,640,38.06
TR104,297,4,5,805,13.98
TR103,804,1,3,368,74.35
TR103,507,2,6,702,11.59
TR104,1015,1,3,1376,88.47
TR103,1049,2,6,463,30.58
TR104,928,1,0,451,39.77
TR103,567,3,2,716,23.32
TR104,655,4,6,863,12.92
TR104,947,2,1,167,55.1
TR103,263,2,1,933,20.91
TR101,295,1,3,1243,59.04
TR101,312,3,4,438,24.14
TR101,898,3,1,626,43.64
TR102,368,2,0,191,2.22
TR103,766,4,3,1227,55.65
TR102,462,4,5,1422,15.57
TR104,1172,3,2,1106,32.33
TR104,730,3,3,652,29.81
TR102,721,1,0,1191,67.68
TR103,687,4,4,137,7.66
TR104,1077,3,0,1001,59.85
TR101,865,2,3,1268,23.94
TR104,908,2,1,918,50.41
TR101,964,2,4,1375,38.87
TR103,683,3,3,505,39.91
TR103,326,4,4,1047,8.72
TR103,1107,2,2,159,78.23
TR101,480,1,2,671,76.41
TR102,997,1,1,304,80.07
TR103,960,3,6,1140,62.2
TR103,1049,1,2,284,92.92
TR101,645,4,0,1232,1.53
TR104,471,2,6,632,35.1
TR101,609,4,6,1027,4.77
TR102,168,2,3,312,0
TR104,896,3,2,444,39.16
TR101,1166,1,2,1105,71.86
TR101,546,1,1,1416,39.67
TR104,764,1,1,685,45.22
TR102,118,1,4,1093,18.26
TR102,860,1,1,442,40.17
TR103,222,1,2,1440,31.11
TR102,1198,1,1,1119,84.51
TR103,998,2,0,893,92.07
TR103,375,3,0,1113,13.58
TR104,488,2,4,832,5.91
